french,portuguese
badiner,brincar
bafouer,desprezar
baigner,tomar banho
se baigner,tomar banho
bâiller,bocejar
baiser,beijar
baisser,diminuir
se baisser,inclinar-se
balancer,balançar
balayer,varrer
balbutier,gaguejar
baliser,marcar
bander,enfaixar
bannir,proibir
baptiser,batizar
barrer,barrar
baser,basear
bastonner,bastonner
batailler,batalhar
bâtir,construir
bavarder,conversar
bécoter,beijar
becquer,bequer
bégayer,gaguejar
bénéficier,benefíciar
bénir,abençoar
bercer,balançar
beugler,berrar
blaguer,brincar
blanchir,branquear
blasphémer,blasfemar
blesser,machucar
bloquer,bloquear
bombarder,bombardear
bondir,pular
bonifier,melhorar
border,limitar
boucher,açougueiro
boucler,fazer loop
bouffer,comer
bouger,mover
bougonner,resmungar
bourdonner,zumbir
bourrer,encher
bousculer,apressar
boutonner,abotoar
bramer,bramer
brancher,conectar
brasser,preparar
briller,brilhar
briser,quebrar
broder,bordar
bronzer,bronzear
brosser,escovar
brouiller,desfocar
broyer,moer
brûler,queimar
se brûler,queimar
cacher,esconder
se cacher,esconder
cailler,coalhar
cajoler,bajular
calculer,calcular
calibrer,calibrar
calmer,acalmar
se calmer,acalmar
camoufler,camuflar
camper,acampar
canaliser,canalizar
candidater,aplicar
capitaliser,capitalizar
capituler,capitular
capter,capturar
captiver,cativar
capturer,captura de verbo
caractériser,caracterizar
carder,para cartão
caresser,acariciar
casser,quebrar
se casser,quebrar
castrer,castrar
catalyser,catalisar
catapulter,catapultar
catégoriser,categorizar
causer,causar
cautionner,endossar
céder,ceder
ceinturer,para cinto
célébrer,celebrar
celer,celer
censurer,censurar
centraliser,centralizar
centrer,centralizar
centrifuger,centrifugar
certifier,certificar
cesser,parar
chagriner,lamentar
changer,mudança de verbo
se changer,mudar
chanter,cantar
chantonner,cantarolar
charger,carregar
charmer,encantar
chasser,caçar
chauffer,aquecer
se chauffer,aquecer
chausser,colocar
cheminer,andar
chercher,pesquisar
chier,cagar
chiffonner,amassar
chiffrer,criptografar
choisir,escolher
choquer,chocar
choyer,mimar
chuchoter,sussurrar
ciller,piscar
circuler,circular
citer,citar
civiliser,civilizar
clamer,clamar
claquer,bater
clarifier,esclarecer
classer,classificar
classifier,classificar
cligner,piscar
clignoter,piscar
cliquer,clicar
clopiner,mancar
clouer,pregar
coaguler,coagular
coder,para codificar
codifier,codificar
cogiter,cogitar
cohabiter,coabitar
coiffer,para estilizar
coincer,encurralar
coïncider,coincidir
coïter,coito
collaborer,colaborar
collapser,colapsar
collecter,coletar
collectionner,coletar
coller,colar
colluder,conspirar
coloniser,colonizar
colorer,colorir
colorier,colorir
combiner,combinar
commander,ordenar
commémorer,comemorar
commencer,início do verbo
commenter,comentar
commercer,negociar
commercialiser,comercializar
communiquer,comunicar
comparer,comparar
compenser,compensar
compiler,compilar
compléter,completo
complimenter,elogiar
compliquer,complicar
composer,compor
compresser,comprimir
comprimer,comprimir
compter,contagem de verbos
concéder,conceder
concentrer,concentrar
concerner,preocupar
concerter,para concerto
concilier,reconciliar
concorder,concordar
concrétiser,concretizar
concurrencer,competir
condamner,condenar
condenser,condensar
conditionner,condicionar
confédérer,confederar
conférer,conferir
confesser,confessar
confier,confiar
configurer,configurar
confiner,confinar
se confiner,confinar-se
confirmer,confirmar
confisquer,confiscar
confluer,convergir
confondre,confundir
conformer,conformar
se conformer,conformar
conforter,confortar
confronter,confrontar
congédier,dispensar
congeler,congelar
conjecturer,conjecturar
conjuguer,conjugado
connecter,conectar
consacrer,dedicar
se consacrer,dedicar
conseiller,aconselhar
conserver,preservar
considérer,considerar
consister,consistir
consoler,consolar
consolider,consolidar
consommer,consumir
constater,observar
consterner,desanimar
constiper,constipar
constituer,constituir
consulter,consultar
consumer,consumir
contacter,contactar
contaminer,contaminar
contempler,contemplar
contester,contestar
continuer,continuar
contourner,contornar
contracter,contrair
contrarier,perturbar
contraster,contrastar
contribuer,contribuir
contrôler,controlar
convaincre,convencer
converger,convergir
converser,conversar
convertir,converter
se convertir,converter
convier,convidar
convoiter,cobiçar
convoquer,convocar
coopérer,cooperar
coordonner,coordenadar
copier,copiar verbo
copuler,copular
coqueter,coquete verbo
corréler,correlacionar
correspondre,corresponder
corriger,corrigir
corroborer,corroborar
corroder,corroer
corrompre,corrupto
corroyer,corroer
cotiser,contribuir
côtoyer,esfregar ombros
coucher,dormir
se coucher,deitar
couler,fluir
couper,cortar
coupler,casar
courber,curvar
couronner,coroar
courtiser,cortejar
coûter,custar
couver,meditar
cracher,cuspir
craqueler,quebrar
craquer,quebrar
créer,criar
crépiter,estalar
creuser,cavar
crever,morrer
cribler,peneirar
crier,gritar
cristalliser,cristalizar
critiquer,criticar
croiser,cruzar
se croiser,cruzar
crucifier,crucificar
cuisiner,cozinhar
culbuter,tombar
culminer,culminar
culpabiliser,sentir-se culpado
cultiver,cultivar
cumuler,acumular
damner,condenar
danser,dançar
débarquer,desembarcar
déborder,transbordar
débrancher,desconectar
débrouiller,resolver
débuter,começar
décapiter,decapitar
décéder,morrer
décharger,descarregar
déchiffrer,decifrar
décider,decidir
déclarer,declarar
décliner,declínar
décoder,decodificar verbo
décoller,decolar
décomposer,decompor
décongeler,descongelar
déconnecter,desconectar
décorer,decorar
découler,fluir
découper,cortar
décourager,desencorajar
décréter,decretar
décrocher,pegar
décrypter,decifrar
dédaigner,desdenhar
dédier,dedicar
défendre,defender
défenestrer,defenestrar
déféquer,defecar
déférer,adiar
défier,desafiar
se défier,desafiar
définir,definir
défléchir,desviar
dégourdir,esticar verbo
déguiser,disfarçar
se déguiser,disfarçar
déguster,provar
déjeuner,almoço
déléguer,delegar
délibérer,deliberar
délier,desatar verbo
délimiter,delimitar
demander,perguntar
se demander,perguntar
démarrer,início do verbo
déménager,mover
demeurer,permanecer
démissionner,renunciar
démolir,demolir
démontrer,demonstrar
dénier,negar
dénigrer,denegrir
dénombrer,contar
dénommer,nomear
dénoncer,denunciar
dénuder,despir
dépasser,exceder
se dépêcher,se apressar
dépendre,depender
dépenser,gastar
déplacer,mover
déplier,desdobrar
déplorer,deplorar
déployer,implantar
déposer,largar
déprécier,depreciar
déprimer,deprimir
dépurer,purificar
dérailler,descarrilar
déranger,perturbar
dériver,derivar
désaccorder,desafinar
descendre,descer
déshabiller,despir
désigner,designar
désirer,desejar
désobéir,desobedecer
désoler,desolar
désorienter,desorientar
dessiner,desenhar
destiner,destinar
détacher,separar
détailler,detalhar
détecter,detectar
se détendre,relaxar
détériorer,deteriorar
déterminer,determinar
détester,odiar
détoner,detonar
détonner,detonar
détourner,desviar
détremper,molhar
dévaster,devastar
développer,desenvolver
se développer,desenvolver
dévier,desviar
deviner,adivinhar
dévorer,devorar
dévoyer,enganar
diagnostiquer,diagnosticar
dialoguer,dialogar
dicter,ditar
différencier,diferenciar
différer,diferir
diffuser,difundir
digérer,digerir
dignifier,dignificar
dilater,dilatar
diluer,diluir
dimensionner,dimensionar
diminuer,diminuição do verbo
dîner,jantar
diriger,dirigir
discerner,discernir
discipliner,disciplinar
discorder,discordar
discriminer,discriminar
discuter,discutir
disloquer,deslocar
dispenser,dispensar
disperser,dispersar
disposer,dispor
disputer,argumentar
se disputer,argumentar
disséminer,divulgar
dissimuler,ocultar
dissiper,dissipar
se dissiper,dissipar
distancier,distanciar
distendre,distender
distiller,destilar
distinguer,distinguir
distribuer,distribuir
diverger,divergir
diviser,dividir
divorcer,divórcio
divulguer,divulgar
documenter,documentar
domestiquer,domesticar
dominer,dominar
donner,dar
doter,dotar
doubler,duplo
se doucher,tomar banho
douter,duvidar
drainer,drenar
dramatiser,dramatizar
duper,enganar
dupliquer,duplicar
durer,durar
ébahir,surpreender
éblouir,deslumbrar
ébrécher,chipar
écarter,descartar
échanger,troca de verbo
échapper,escapar
s'échapper,escapar
échauffer,aquecer
échouer,falhar
éclabousser,espirrar
éclaircir,esclarecer
s'éclaircir,esclarecer
éclairer,iluminar
éclater,explodir
écœurer,enojar
économiser,salvar
écouler,fluir
écourter,encurtar
écouter,ouvir
écraser,esmagar
écumer,desnatar
éditer,editar verbo
édulcorer,adoçar
éduquer,educar
effacer,apagar
s'effaroucher,ficar assustado
effectuer,realizar
effrayer,assustar
s'effrayer,ficar assustado
égaler,igual
égaliser,equalizar
égarer,extraviar
égayer,iluminar
égorger,abater
égoutter,drenar
éjaculer,ejacular
élaborer,elaborar
élargir,expandir
électrocuter,eletrocutar
élever,aumentar
s'élever,subir
éliminer,eliminar
éloigner,afastar-se
éluder,escapar
émanciper,emancipar
émaner,emanar
émasculer,emascular
emballer,embalar
embarquer,embarcar
embarrasser,envergonhar
embaucher,contratar verbo
embobiner,enganar
emboîter,encaixar
embouteiller,engarrafar
emboutir,carimbar
embrasser,beijar
embrouiller,confundir
s'embrouiller,ficar confuso
embusquer,emboscar
émerger,emergir
émerveiller,surpreender
émigrer,emigrar
emmagasiner,armazenar verbo
emmêler,emaranhar
s'emmêler,emaranhar
emmener,tomar
emmerder,irritar
émotionner,para emoção
empaqueter,embalar
s'emparer,aproveitar
empêcher,prevenir
empirer,piorar
emplir,preencher
employer,usar
empoisonner,envenenar
emporter,tirar
emprisonner,aprisionar
emprunter,emprestar
encadrer,enquadrar
encaisser,dinheiro
encercler,circular
enchanter,encantar
encourager,encorajar
endurer,suportar
enfermer,trancar
enfiler,colocar
enflammer,inflamar
enfoncer,empurrar
engager,envolver
englober,abranger
engloutir,engolir
engorger,ingurgitar
engraisser,engordar
enlever,remover
ennuyer,aborrecer
s'ennuyer,ficar entediado
énoncer,declarar
enquêter,investigar
enregistrer,salvar
s'enrhumer,pegar um resfriado
enrichir,enriquecer
enrouler,enrolar
enseigner,ensinar
ensorceler,enfeitiçar
entendre,ouvir
enterrer,enterrar
enthousiasmer,entusiasmar
s'enthousiasmer,ficar animado
entourer,cercar
entraîner,treinar
entrer,entrar
énumérer,listar
envahir,invadir
envelopper,envolver
envier,invejar
environner,cercar
envisager,considerar
s'envoler,voar para longe
envoûter,enfeitiçar
envoyer,enviar
épandre,espalhar
épargner,salvar
épeler,soletrar
épier,espionar
épouvanter,aterrorizar
éprouver,experimentar
épuiser,esgotar
épurer,purificar
équilibrer,equilíbrar
ériger,erigir
errer,vagar
escalader,escalar
escrimer,cercar
espérer,esperança
esquinter,esquivar
esquiver,esquivar
essayer,tentar
essuyer,limpar
estimer,estimar
établir,estabelecer
étaler,espalhar
étancher,extinguir
étayer,apoiar
étendre,estender
s'étendre,estender
éternuer,espirrar
étêter,para cabeça
étinceler,brilhar
étiqueter,rotular
étirer,esticar verbo
s'étirer,esticar
étonner,surpreender
étouffer,sufocar
étourdir,atordoar
étrangler,estrangular
étrenner,liberar
étudier,estudar
étuver,vaporizar
évacuer,evacuar
évaluer,avaliar
évangéliser,evangelizar
s'évanouir,desmaiar
évaporer,evaporar
s'évaporer,evaporar
éveiller,despertar
éventer,torcer
évider,esvaziar
éviter,evitar
évoluer,evoluir
exagérer,exagerar
examiner,examinar
exaspérer,exasperar
excaver,escavar
excéder,exceder
exceller,excel
exciter,excitar
exclamer,exclamar
excuser,desculpar
s'excuser,pedir desculpas
exécuter,executar
exempter,isentar
exercer,exercitar
exfolier,esfoliar
exhaler,exalar
exhiber,exibir
exiger,exigir
exiler,exilar
exister,existir
exonérer,exonerar
expatrier,expatriar
expédier,enviar
expérimenter,experimentar
expier,expiar
expirer,expirar
expliquer,explicar
exploiter,explorar
explorer,explorar
exploser,explodir
exporter,exportar verbo
exposer,expor
exprimer,expressar
expulser,expulsar
exterminer,exterminar
extrader,extraditar
fabriquer,fazer
faciliter,facilitar
facturer,cobrar
faiblir,enfraquecer
fainéanter,preguiçoso
falsifier,falsificar
faner,desaparecer
fanfaronner,se gabar
fantasier,de fantasia
farcir,encher
fasciner,fascinar
fatiguer,cansar
se fatiguer,cansar
faucher,cortar
fausser,distorcer
favoriser,favorecer
féliciter,parabenizar
fendre,dividir
fermenter,fermentar
fermer,fechar
ferrer,ferre
fertiliser,fertilizar
fêter,comemorar
feuilleter,folhear
ficher,arquivo de verbo
se fier,confiar
figurer,figurar
se figurer,imaginar
filer,girar
filmer,filmar
filtrer,filtrar
finaliser,finalizar
financer,financiar
finir,terminar
fixer,consertar
flairer,cheirar
flamber,flambar
flâner,passear
flanquer,flanquear
flatter,lisonjear
fléchir,flexionar
fleurer,florescer
fleurir,florescer
flexibiliser,flexibilizar
flirter,flertar
flotter,flutuar
fluctuer,flutuar
focaliser,focar
foncer,ir
fonctionner,funcionar
fonder,encontrar
fondre,derreter
forcer,forçar
formaliser,formalizar
former,treinar
formuler,formular
forniquer,fornicar
fortifier,fortificar
fouetter,chicotear
fouiller,pesquisar
fouiner,bisbilhotar
fouler,pisar
fourcher,bifurcar
fournir,fornecer
fourrer,encher
foutre,gozar
fracasser,esmagar
fracturer,fraturar
fragmenter,fragmentar
frapper,bater
frauder,fraudar
fredonner,cantarolar
freiner,frear
fréquenter,frequente
froncer,franzir a testa
frotter,esfregar
fruiter,frutificar
frustrer,frustrar
fuir,fugir
fumer,fumar
fumiger,fumigar
fureter,furar
fusionner,mesclar
---,---
gagner,vencer
galoper,galopar
galvaniser,galvanizar
garantir,garantir
garder,manter
garer,estacionar
garnir,enfeitar
gaspiller,desperdiçar
geler,congelar
gémir,gemer
gêner,incomodar
se gêner,incomodar
généraliser,generalizar
générer,gerar
gérer,gerenciar
germer,germinar
gesticuler,gesticular
gifler,dar um tapa
glacer,esmaltar
glapir,gritar
glisser,deslizar
se glisser,escorregar
glorifier,glorificar
gommer,apagar
gonfler,inchar
goûter,provar
gouverner,governar
graduer,graduar
graisser,untar
grandir,crescer
gratifier,gratificar
gratter,arranhar
graver,gravar
gribouiller,rabiscar
griffer,arranhar
griffonner,rabiscar
grignoter,mordiscar
griller,grelhar
grimer,para sujeira
grimper,escalar
grogner,rosnar
gronder,repreender
grossir,crescer
guérir,curar
guetter,assistir
guider,guiar
habiller,vestir
s'habiller,vestir
habiter,viver
habituer,habituar
s'habituer,acostumar
hacher,cortar
handicaper,desabilitar
harceler,assediar
harmoniser,harmonizar
hâter,apressar
se hâter,se apressar
hausser,aumentar
héberger,hospedar
hériter,herdar
hésiter,hesitar
heurter,bater
hisser,içar
honorer,honrar
hoqueter,soluçar
horrifier,horrorizar
hospitaliser,hospitalizar
huiler,para óleo
humidifier,umidificar
humilier,humilhar
hurler,gritar
hydrater,hidratar
hypnotiser,hipnotizar
hypothéquer,hipotecar
idéaliser,idealizar
identifier,identificar
s'identifier,identificar
ignorer,ignorar
illuminer,iluminar
illusionner,para ilusão
illustrer,ilustrar
imaginer,imaginar
s'imaginer,imaginar
imiter,imitar
immerger,imergir
immigrer,imigrar
immuniser,imunizar
impartir,transmitir
implanter,implantar
implémenter,implementar
impliquer,implicar
importer,importar
imposer,impor
imprégner,permear
impressionner,impressionar
imprimer,imprimir
improviser,improvisar
impulser,impulsionar
inaugurer,inaugurar
incarcérer,encarcerar
incendier,atear fogo
incinérer,cremar
inciter,incitar
incliner,inclinar
s'incliner,curvar-se
incommoder,incomodar
incorporer,incorporar
incriminer,incriminar
incuber,incubar
incurver,curvar
indigner,indignar
indiquer,indicar
individualiser,individualizar
industrialiser,industrializar
infatuer,apaixonar
infecter,infectar
inférer,inferir
infiltrer,infiltrar
infliger,infligir
influencer,influenciar
influer,influenciar
informer,informar
s'informer,informar
ingérer,ingerir
inhabiliter,desabilitar
inhaler,inalar
inhiber,inibir
initier,iniciar
injecter,injetar
innover,inovar
inoculer,inocular
inonder,inundar
s'inquiéter,se preocupar
insérer,inserir verbo
insinuer,insinuar
insister,insistir
inspecter,inspecionar
inspirer,inspirar
installer,instalar
instiguer,instigar
instituer,instituir
insulter,insultar
intégrer,integrar
intensifier,intensificar
interagir,interagir
intercéder,interceder
intercepter,interceptar
intéresser,interessar
s'intéresser,estar interessado
interférer,interferir
intermédier,intermediário
interner,internar
interpeller,desafiar
interpréter,interpretar
interroger,questionar
interrompre,interromper
interviewer,entrevistar
intimider,intimidar
intituler,dar direito
intoxiquer,intoxicar
intriguer,intrigar
invalider,invalidar
inventer,inventar
inverser,reverso
investiguer,investigar
investir,investir
inviter,convidar
invoquer,invocar
irradier,irradiar
irriguer,irrigar
irriter,irritar
s'irriter,ficar irritado
isoler,isolar
itérer,iterar
jaillir,saltar
jambiser,jambiser
jaser,conversar
jaunir,para amarelo
jeter,lançar
se jeter,lançar
jouer,jogar
jouir,aproveitar
juger,julgar
jumeler,emparelhar
jurer,jurar
justifier,justificar
juxtaposer,justapor
kidnapper,sequestrar
klaxonner,buzinar
lacérer,lacerar
lâcher,deixar ir
laisser,sair
se lamenter,lamentar
lancer,lançar
larguer,largar
laver,lavar
se laver,lavar
lécher,lamber
légaliser,legalizar
légiférer,legislar
légitimer,legitimar
léguer,legar
léser,prejudicar
leurrer,atrair
lever,aumentar
se lever,levantar
libérer,liberar
licencier,demitir
lier,ligar
limer,arquivo de verbo
limiter,limitar
liquéfier,liquefazer
liquider,liquidar
lisser,suavizar
lister,listar
livrer,entregar
localiser,localizar
loger,para casa
se loger,hospedar
longer,mais longo
louer,alugar
louvoyer,louvoy
lubrifier,lubrificar
lutter,lutar
lyncher,linchar
mâcher,mastigar
maigrir,perder peso
maltraiter,maltratar
manger,comer
manier,manipular
manifester,manifestar
manipuler,manipular
manœuvrer,manobrar
manquer,sentir falta
manufacturer,fabricante de verbo
maquiller,compensar
se maquiller,compensar
marchander,barganhar
marcher,andar
marier,casar
se marier,casar
mariner,marinar
marmonner,murmurar
marquer,marcar
se marrer,rir
marteler,martelar
mastiquer,mastigar
masturber,masturbar-se
maximiser,maximizar
méditer,meditar
se méfier,ser cauteloso
mélanger,misturar verbo
mêler,misturar verbo
mémoriser,memorizar
menacer,ameaçar
se ménager,cuidar de si mesmo
mendier,implorar
mener,liderar
menstruer,menstruar
mentionner,mencionar
mépriser,desprezar
mériter,merecer
mesurer,medir
meubler,fornecer
miauler,miau
migrer,migrar
minauder,simper
miser,apostar
mitiger,mitigar
mobiliser,mobilizar
modeler,modelar
modérer,moderar
moderniser,modernizar
modifier,modificar
moduler,modular
moissonner,colher
monter,subir
montrer,mostrar
se montrer,mostrar
se moquer,tirar sarro
mordre,morder
motiver,motivar
se moucher,assoar o nariz
mouiller,molhar
mouler,moldar
muer,mudar
mugir,berrar
multiplier,multiplicar
mûrir,amadurecer
murmurer,sussurrar
muter,mutar
mutiler,mutilar
mystifier,mistificar
nager,nadar
narrer,narrar
naturaliser,naturalizar
naviguer,navegar
nécessiter,exigir
négliger,negligenciar
négocier,negociar
nettoyer,limpar
neutraliser,neutralizar
nier,negar
niquer,foder
niveler,nivelar
nominer,nomear
nommer,nome do verbo
noter,noter
notifier,notificar
nouer,amarrar
nourrir,alimentar
noyer,afogar
se noyer,afogar
nuancer,para nuance
numéroter,número do verbo
obéir,obedecer
obliger,obrigar
obliquer,oblíquo
obscurcir,obscurecer
observer,observar
s'obstiner,persistir
obstruer,obstruir
occulter,obscurecer
occuper,ocupar
s'occuper,cuidar
octroyer,conceder
œuvrer,trabalhar
offenser,ofender
opérer,operar
opiner,opinar
opposer,opor
s'opposer,opor-se
opprimer,oprimir
opter,optar
orchestrer,orquestrar
ordonner,ordenar
organiser,organizar
orienter,orientar
originer,originar verbo
orner,adornar
osciller,oscilar
oser,ousar
ossifier,ossificar
oublier,esquecer
ourdir,deformar
ovuler,ovular
oxyder,oxidar
oxygéner,oxigenar
palper,palpar
palpiter,palpitar
paniquer,entrar em pânico
parader,desfilar
paralyser,paralisar
paraphraser,paráfrasear
pardonner,perdoar
parer,parear
paresser,preguiçar
parfumer,perfumar
parier,apostar
parler,falar
parodier,parodiar
parquer,estacionar
partager,compartilhar
participer,participar
passer,passar
se passer,acontecer
passionner,fascinar
se passionner,ser apaixonado
patiner,patinar
pâtir,sofrer
patrouiller,patrulhar
paver,pavimentar
payer,pagar
pêcher,pescar
peigner,pentear
peiner,dor
peler,descascar
peloter,acariciar
pénaliser,penalizar
pendre,pendurar
pénétrer,penetrar
penser,pensar
percer,perfurar
percuter,atacar
perdre,perder
perfectionner,perfeito
perforer,perfurar
périr,perecer
perpétuer,perpetuar
persévérer,perseverar
persister,persistir
personnaliser,personalizar
persuader,persuadir
perturber,perturbar
peser,pesar
pétrir,amassar
peupler,povoar
phagocyter,fagocitar verbo
philosopher,filosofar
photocopier,fotocopiar
photographier,fotografar
piailler,gorjear
pianoter,dedilhar
picorer,bicar
picoter,bicar
piétiner,pisar
piller,pilhar
piocher,desenhar
piquer,picar
pisser,mijar
placer,colocar
plaider,implorar
plaisanter,brincar
planer,pairar
planifier,planejar
planter,plantar
pleurer,chorar
pleurnicher,lamentar
plier,dobrar
plonger,mergulhar
se plonger,imergir
poignarder,esfaquear
polariser,polarizar
polir,polir
polliniser,polinizar
polluer,poluir
pomper,bombear
ponctuer,pontuar
pondre,colocar
porter,transportar
poser,posar
positionner,posicionar
posséder,possuir
possibiliser,tornar possível
poster,postar
postposer,pospor
postuler,aplicar
pourrir,apodrecer
pousser,empurrar
pratiquer,praticar
précéder,preceder
prêcher,pregar
précipiter,apressar
préciser,especificar
prédisposer,predispor
prédominer,predominar
préférer,preferir
préjuger,prejulgar
se préoccuper,se preocupar
préparer,preparar
se préparer,preparar
préposer,prepor
présenter,apresentar
se présenter,apresentar-se
préserver,preservar
présider,presidir
presser,pressionar
présumer,presumir
présupposer,pressupor
prétendre,fingir
prêter,emprestar
prier,orar
primer,primo
priver,privar
procéder,prosseguir
proclamer,proclamar
procrastiner,procrastinar
procurer,adquirir
proférer,proferir
profiler,para perfilar
profiter,aproveitar
programmer,programar
progresser,progredir
projeter,projetar
proliférer,proliferar
prolonger,estender
promener,andar
se promener,andar
promulguer,promulgar
prononcer,pronunciar
pronostiquer,prever
propager,propagar
proportionner,proporcional
proposer,propor
se proposer,propor
propulser,impulsionar
protéger,proteger
protester,protestar
prouver,provar
provoquer,provocar
publier,publicar
puer,puer
pulser,pulsar
punir,punir
purifier,purificar
qualifier,qualificar
quantifier,quantificar
se quereller,brigar
quitter,sair
raccorder,conectar
raccrocher,desligar
racler,raspar
raconter,contar
radicaliser,radicalizar
radiodiffuser,transmitir
radoucir,suavizar
raffiner,refinar
raidir,endurecer
ralentir,desacelerar
ramasser,pegar
ramener,trazer de volta
ramer,remar
ranger,guardar
rapatrier,repatriar
râper,ralar
rappeler,lembrar
se rappeler,lembrar
rapporter,relatar
se rapporter,relacionar
rapprocher,aproximar
se rapprocher,aproximar-se
raser,fazer a barba
se raser,fazer a barba
rassasier,saciar
rassembler,reunir
se rassembler,reunir
rassurer,tranquilizar
rater,sentir falta
ravager,devastar
ravir,encantar
rayer,arranhar
rayonner,irradiar
réagir,reagir
réaliser,perceber
se rebeller,rebelar-se
récapituler,recapitular
receler,ocultar
recenser,identificar
recharger,recarregar
réchauffer,aquecer
rechercher,pesquisar
réciter,recitar
réclamer,reivindicar
récolter,colher
recommander,recomendar
recommencer,começar de novo
récompenser,recompensar
réconcilier,reconciliar
recruter,recrutar
rectifier,retificar
récupérer,recuperar
récuser,desafiar
recycler,reciclar
rédiger,escrever
redouter,temer
référer,referir
se référer,referir
réfléchir,refletir
refléter,refletir
réformer,reformar
réfrigérer,refrigerar
refroidir,esfriar
se réfugier,tomar refúgio
refuser,recusar
réfuter,refutar
regarder,olhar
régénérer,regenerar
régir,governar
régler,resolver
régner,reinar
régresser,regredir
regretter,arrepender
réguler,regular
réhabiliter,reabilitar
réintégrer,restabelecer
rejeter,rejeitar
réjouir,alegrar-se
se réjouir,alegrar-se
relâcher,liberar
relater,relacionar
relativiser,relativizar
relier,conectar
remarquer,avisar
rembobiner,retroceder
rembourser,retribuir
remédier,remediar
remercier,agradecer
remorquer,rebocar
remoudre,remoudre
remplacer,substituir
remplir,preencher
remporter,vencer
remuer,mexer
rémunérer,remunerar
rencontrer,conhecer
se rencontrer,conhecer
rendre,renderizar
renfler,inchar
renforcer,fortalecer
renoncer,renunciar
renouer,reconectar
renouveler,renovar
rénover,renovar
renseigner,informar
rentrer,retornar
renverser,derrubar
renvoyer,enviar de volta
répandre,espalhar
réparer,reparar
repasser,passar ferro
répéter,repetir
répliquer,replicar
répondre,responder
reporter,relatar
reposer,descansar
se reposer,descansar
repousser,empurrar para trás
représenter,representar
réprimer,reprimir
repriser,cerzir
reprocher,reprovação
réserver,reservar
résider,residir
